21/03/2017 09:59 - KLEBER | ID =  | CI = 19903 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
21/03/2017 09:59 - KLEBER | ID =  | CI = 19903 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
21/03/2017 12:42 - NORIVAL | ID =  | CI = 19915 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 19.00
21/03/2017 13:46 - LUISMOREIRA | ID =  | CI = 19917 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 62.80
21/03/2017 15:16 - MARTA | ID =  | CI = 19919 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 25.86
21/03/2017 15:16 - MARTA | ID =  | CI = 19919 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
22/03/2017 09:27 - MATHEUSRODRIGUES | ID =  | CI = 19923 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 9.80
22/03/2017 09:27 - MATHEUSRODRIGUES | ID =  | CI = 19923 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 61.34
23/03/2017 08:24 - MARTA | ID =  | CI = 19931 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 35.00
23/03/2017 08:24 - MARTA | ID =  | CI = 19931 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
23/03/2017 08:24 - MARTA | ID =  | CI = 19931 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
23/03/2017 10:14 - JOISYLOPES | ID =  | CI = 19935 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
23/03/2017 10:14 - JOISYLOPES | ID =  | CI = 19935 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 26.40
23/03/2017 10:14 - JOISYLOPES | ID =  | CI = 19935 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
23/03/2017 10:14 - JOISYLOPES | ID =  | CI = 19935 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
23/03/2017 10:14 - JOISYLOPES | ID =  | CI = 19935 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
23/03/2017 14:59 - LUISMOREIRA | ID =  | CI = 19940 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 56.50
24/03/2017 09:03 - ANGELO | ID =  | CI = 19948 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 25.00
24/03/2017 09:04 - FRANCISCO | ID =  | CI = 19949 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 121.02
24/03/2017 09:04 - FRANCISCO | ID =  | CI = 19949 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 117.30
24/03/2017 09:04 - FRANCISCO | ID =  | CI = 19949 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 120.00
24/03/2017 09:06 - ANGELO | ID =  | CI = 19950 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 20.00
24/03/2017 09:24 - FRANCISCO | ID = 16629 | CI = 19949 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 201.02
24/03/2017 09:24 - FRANCISCO | ID = 16630 | CI = 19949 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 144.10
24/03/2017 09:24 - FRANCISCO | ID = 16631 | CI = 19949 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 120.00
24/03/2017 09:25 - ELTON | ID =  | CI = 19951 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 386.58
24/03/2017 09:25 - ELTON | ID =  | CI = 19951 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 167.55
24/03/2017 09:25 - ELTON | ID =  | CI = 19951 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 1000.00
24/03/2017 09:44 - FRANCISCO | ID =  | CI = 19952 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 36.00
27/03/2017 10:04 - FRANCISCO | ID =  | CI = 19969 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 80.01
27/03/2017 10:04 - FRANCISCO | ID =  | CI = 19969 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 81.45
27/03/2017 10:04 - FRANCISCO | ID =  | CI = 19969 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 168.00
27/03/2017 10:05 - ANGELO | ID =  | CI = 19970 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 60.00
27/03/2017 10:07 - ANGELO | ID =  | CI = 19971 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 30.00
27/03/2017 10:09 - ANGELO | ID =  | CI = 19972 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 59.00
27/03/2017 10:11 - ANGELO | ID =  | CI = 19973 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 61.00
27/03/2017 10:16 - ANGELO | ID =  | CI = 19974 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 32.00
27/03/2017 10:19 - ANGELO | ID =  | CI = 19975 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 32.00
27/03/2017 10:20 - KLEBER | ID =  | CI = 19976 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 120.00
27/03/2017 10:20 - KLEBER | ID =  | CI = 19976 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 0.00
27/03/2017 10:20 - KLEBER | ID =  | CI = 19976 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 36.50
27/03/2017 10:20 - KLEBER | ID =  | CI = 19976 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
27/03/2017 10:20 - KLEBER | ID =  | CI = 19976 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 101.26
27/03/2017 10:20 - KLEBER | ID =  | CI = 19976 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
27/03/2017 10:27 - ANGELO | ID =  | CI = 19977 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 32.00
27/03/2017 10:28 - ANGELO | ID =  | CI = 19978 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 31.00
27/03/2017 10:30 - ANGELO | ID =  | CI = 19979 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 32.00
27/03/2017 11:11 - NORIVAL | ID =  | CI = 19980 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 200.40
27/03/2017 11:11 - NORIVAL | ID =  | CI = 19980 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 78.60
