25/01/2017 07:31 - VELOSA | ID =  | CI = 19127 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
25/01/2017 13:01 - NORIVAL | ID =  | CI = 19132 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 130.83
25/01/2017 13:01 - NORIVAL | ID =  | CI = 19132 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 25.45
25/01/2017 13:41 - ANGELO | ID =  | CI = 19133 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 51.98
25/01/2017 13:41 - ANGELO | ID =  | CI = 19133 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 74.48
26/01/2017 09:08 - ANGELO | ID =  | CI = 19139 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 51.00
26/01/2017 09:17 - ANGELO | ID =  | CI = 19140 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 27.30
26/01/2017 11:11 - ANGELO | ID =  | CI = 19141 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 25.00
26/01/2017 11:16 - ANGELO | ID =  | CI = 19142 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 27.00
26/01/2017 11:24 - ANGELO | ID =  | CI = 19143 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 25.00
26/01/2017 11:30 - ANGELO | ID =  | CI = 19144 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 55.00
26/01/2017 11:34 - ANGELO | ID =  | CI = 19145 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 28.00
26/01/2017 13:33 - FRANCISCO | ID =  | CI = 19147 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 170.00
26/01/2017 13:33 - FRANCISCO | ID =  | CI = 19147 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 93.55
26/01/2017 14:13 - MARTA | ID =  | CI = 19149 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 32.90
26/01/2017 14:13 - MARTA | ID =  | CI = 19149 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 0.00
26/01/2017 14:13 - MARTA | ID =  | CI = 19149 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
26/01/2017 16:09 - FRANCISCO | ID =  | CI = 19152 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 170.01
26/01/2017 16:09 - FRANCISCO | ID =  | CI = 19152 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 85.64
26/01/2017 16:09 - FRANCISCO | ID =  | CI = 19152 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 10.00
26/01/2017 16:27 - FRANCISCO | ID =  | CI = 19154 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 88.60
26/01/2017 16:27 - FRANCISCO | ID =  | CI = 19154 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 100.00
27/01/2017 09:04 - SANDRA | ID =  | CI = 19164 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 332.40
30/01/2017 09:02 - FRANCISCO | ID =  | CI = 19175 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 85.57
30/01/2017 09:02 - FRANCISCO | ID =  | CI = 19175 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 102.95
31/01/2017 15:48 - MARTA | ID =  | CI = 19199 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 53.80
31/01/2017 15:48 - MARTA | ID =  | CI = 19199 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
31/01/2017 15:48 - MARTA | ID =  | CI = 19199 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
