23/05/2017 12:26 - STEFANIAESTEVO | ID =  | CI = 20683 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 153.00
24/05/2017 07:38 - PRISCILLASILVA | ID =  | CI = 20686 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 64.94
24/05/2017 07:38 - PRISCILLASILVA | ID =  | CI = 20686 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
24/05/2017 08:27 - LUZMARINA | ID =  | CI = 20692 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 72.03
24/05/2017 08:27 - LUZMARINA | ID =  | CI = 20692 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 40.85
24/05/2017 14:10 - FRANCISCO | ID =  | CI = 20702 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 17.00
26/05/2017 09:46 - FRANCISCO | ID =  | CI = 20720 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 80.35
26/05/2017 09:46 - FRANCISCO | ID =  | CI = 20720 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 109.61
26/05/2017 09:46 - FRANCISCO | ID =  | CI = 20720 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 15.00
29/05/2017 07:24 - GUSTAVOMELGES | ID =  | CI = 20727 | FINALIDADE_TIPO_DESPESA = 30 | VALOR = 708.40
29/05/2017 07:24 - GUSTAVOMELGES | ID =  | CI = 20727 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 155.00
29/05/2017 07:24 - GUSTAVOMELGES | ID =  | CI = 20727 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 0.00
29/05/2017 07:57 - THAISMAGALHAES | ID =  | CI = 20730 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 33.20
29/05/2017 08:02 - THAISMAGALHAES | ID =  | CI = 20731 | FINALIDADE_TIPO_DESPESA = 31 | VALOR = 13.70
29/05/2017 08:02 - THAISMAGALHAES | ID =  | CI = 20731 | FINALIDADE_TIPO_DESPESA = 2 | VALOR = 22.50
29/05/2017 08:02 - THAISMAGALHAES | ID =  | CI = 20731 | FINALIDADE_TIPO_DESPESA = 35 | VALOR = 0.00
29/05/2017 08:02 - THAISMAGALHAES | ID =  | CI = 20731 | FINALIDADE_TIPO_DESPESA = 36 | VALOR = 0.00
29/05/2017 08:02 - THAISMAGALHAES | ID =  | CI = 20731 | FINALIDADE_TIPO_DESPESA = 6 | VALOR = 0.00
